neighborhood,month_name,month,curr.total.crimes,year,change.total.rel.last.month,direction.change.rel.last.month,abs.change.total,prev.total.crimes,curr_month_name,curr_month,curr_aggravated_assault,curr_arson,curr_assault,curr_auto_theft,curr_battery,curr_burglary,curr_conservation,curr_disorderly_conduct,curr_disturbance_of_the_peace,curr_embezzlement,curr_forgery,curr_fraud,curr_fugitive_from_justice,curr_grand_theft,curr_homicide,curr_impounded_vehicle,curr_incident_report_filed,curr_larceny,curr_narcotics,curr_obstruction_of_justice,curr_parole_probation_court_order_violations,curr_registration_as_a_sex_offender,curr_release_from_arrest,curr_resisting_arrest,curr_robbery,curr_sexual_offense,curr_stolen_property,curr_stolen_vehicle,curr_theft,curr_traffic_violations_dui_reckless_driving_accidents,curr_trespassing,curr_vandalism_graffiti,curr_vehicle_tampering,curr_vehicle_towed_stored,curr_violation_of_a_sacramento_city_code,curr_weapons_offense,curr_penal_code_infraction,curr_unauthorized_fireworks,curr_violation_of_a_city_ordinance,curr_failure_to_register_as_a_sex_offender,curr_kidnapping,curr_fare_evasion,curr_general_health_and_safety_violation,curr_violation_of_a_public_ordinance,curr_bait_car,curr_compensation_theft,curr_drunk_in_public,curr_unauthorized_fire,prev_month_name,prev_month,prev_aggravated_assault,prev_arson,prev_assault,prev_auto_theft,prev_battery,prev_burglary,prev_conservation,prev_disorderly_conduct,prev_disturbance_of_the_peace,prev_embezzlement,prev_forgery,prev_fraud,prev_fugitive_from_justice,prev_grand_theft,prev_homicide,prev_impounded_vehicle,prev_incident_report_filed,prev_larceny,prev_narcotics,prev_obstruction_of_justice,prev_parole_probation_court_order_violations,prev_registration_as_a_sex_offender,prev_release_from_arrest,prev_resisting_arrest,prev_robbery,prev_sexual_offense,prev_stolen_property,prev_stolen_vehicle,prev_theft,prev_traffic_violations_dui_reckless_driving_accidents,prev_trespassing,prev_vandalism_graffiti,prev_vehicle_tampering,prev_vehicle_towed_stored,prev_violation_of_a_sacramento_city_code,prev_weapons_offense,prev_penal_code_infraction,prev_unauthorized_fireworks,prev_violation_of_a_city_ordinance,prev_failure_to_register_as_a_sex_offender,prev_kidnapping,prev_fare_evasion,prev_general_health_and_safety_violation,prev_violation_of_a_public_ordinance,prev_bait_car,prev_compensation_theft,prev_drunk_in_public,prev_unauthorized_fire,no_crime_flag
Regency Park,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Richardson Village,June,6,6,2022,-2,down,2,8,June,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richmond Grove,June,6,13,2022,4,up,4,9,June,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
River Gardens,June,6,18,2022,1,up,1,17,June,6,3,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,2,1,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
River Park,June,6,7,2022,-6,down,6,13,June,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Robla,June,6,25,2022,-7,down,7,32,June,6,1,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,3,1,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,May,5,3,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,2,0,7,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
RP - Sports Complex,June,6,28,2022,-6,down,6,34,June,6,2,1,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,1,2,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,1,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,8,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
Sierra Oaks,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,THERE ARE NO CRIMES REPORTED FOR THIS NEIGHBORHOOD
South City Farms,June,6,1,2022,-5,down,5,6,June,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
